ID,name,Geography,History,Mathematics,Literature,Computer Science,Biology,Statistics,Physics,Chemistry,Medicine,Economics,Philosophy,Psychology,Music,Cinema,Television,Sport
Q10225,Indian National Congress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102272,Jan van Eyck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102289,Buckminster Fuller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1022919,Clube Atlético Hermann Aichinger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1022928,Yuexiu District,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1022939,Talleres de Córdoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1022955,CBC Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10231,Rivoli,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1023103,Philips CD-i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102317,Kielce,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1023185,Tecos F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102341,Farrah Fawcett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1023499,Hudson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102350,Bytom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1023532,Atlas F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102356,brigade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102365,Pärnu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1023712,San Fernando,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102397,Miskolc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102419,Derek Barton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1024264,Clube de Regatas Brasil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102427,Academy Award for Best Picture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1024338,Defensa y Justicia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1024362,Spanish National Research Council,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102438,Harry Potter and the Philosopher's Stone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102448,Harry Potter and the Prisoner of Azkaban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102454,Paul Samuelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102462,James Stewart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1024694,Nightbreed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1024839,Cabin in the Sky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1025,Mauritania,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1025096,Caddyshack II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1025198,Cadillac Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1025444,Liuyang,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102551,Ernest Borgnine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1025962,Cairns Region,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1026,Poles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1026417,Caldecott Medal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102642,Diane Keaton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1026470,Beverly Hills Chihuahua 3: Viva la Fiesta!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102661,Pescia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1026696,Da Vinci's Demons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1026724,The Man from the Alamo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102673,Gazprom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1026730,Inuyasha the Movie: The Castle Beyond the Looking Glass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1026732,Fade to Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1026756,Beverly Hills Chihuahua 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1026827,California Institute of the Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1026872,The Paperboy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1026919,"California State University, Fresno",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1026926,"California State University, Long Beach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1026932,"California State University, Los Angeles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1026939,"California State University, Northridge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1026941,"California State University, Sacramento",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1026997,The 25th Hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1027,Mauritius,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102711,Dennis Hopper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1027200,Calle 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1027212,Revolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1027247,An Ideal Husband,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102734,Red Army Faction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102754,Dr. No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1027800,Pottsville,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1027830,Gotland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1027834,The Cave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1027879,graphics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1027904,Grammy Award for Song of the Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1027922,Grand Prix de l'Imaginaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1028,Morocco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102813,Yul Brynner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10282,Pamplona,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102822,Jacobus Henricus van 't Hoff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1029,Mozambique,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1029050,Duque de Caxias Futebol Clube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1029135,Nettwerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1029155,Camille Claudel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102920,UEFA Euro 2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1029212,Bernie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102932,avant-garde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10293704,Hanna-Barbera's 50th: A Yabba Dabba Doo Celebration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1029548,Chak De! India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10298666,How to Train Your Dragon 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1030,Namibia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1030228,Ludvig Faddeev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10303410,Ioannis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
