entity,rel,objt,pageTitle_entity,views_entity,pageTitle_objt,views_objt
Q49619,P12687,Q9725228,2024,107822,Category:2024 deaths,733
Q114929139,P31,Q13406463,Deaths in 2023,103123,Wikipedia:Lists,11955
Q114929139,P155,Q107528356,Deaths in 2023,103123,Deaths in 2022,987196
Q114929139,P1754,Q115949248,Deaths in 2023,103123,Category:Lists of deaths in 2023,52581
Q114929139,P527,Q115858364,Deaths in 2023,103123,Deaths in January 2023,711408
Q114929139,P527,Q116273893,Deaths in 2023,103123,Deaths in February 2023,382170
Q114929139,P527,Q116879575,Deaths in 2023,103123,Deaths in March 2023,336036
Q114929139,P527,Q116948156,Deaths in 2023,103123,Deaths in April 2023,309710
Q114929139,P527,Q117310113,Deaths in 2023,103123,Deaths in May 2023,310278
Q114929139,P527,Q117310128,Deaths in 2023,103123,Deaths in June 2023,278177
Q114929139,P527,Q117310147,Deaths in 2023,103123,Deaths in July 2023,277829
Q114929139,P527,Q117310159,Deaths in 2023,103123,Deaths in August 2023,265645
Q114929139,P527,Q117310173,Deaths in 2023,103123,Deaths in September 2023,222464
Q114929139,P527,Q117310185,Deaths in 2023,103123,Deaths in October 2023,221038
Q114929139,P527,Q117310201,Deaths in 2023,103123,Deaths in November 2023,190988
Q114929139,P527,Q117310210,Deaths in 2023,103123,Deaths in December 2023,138792
Q114929139,P360,Q5,Deaths in 2023,103123,Human,3666034
Q114929139,P910,Q9724938,Deaths in 2023,103123,Category:2023 deaths,284864
Q114929139,P156,Q123489953,Deaths in 2023,103123,Deaths in 2024,14861
Q114929139,P361,Q49622,Deaths in 2023,103123,2023,7776090
Q355,P31,Q3220391,Facebook,89983,Social networking service,526619
Q355,P31,Q35127,Facebook,89983,Website,11556519
Q355,P31,Q620615,Facebook,89983,Mobile app,647036
Q355,P31,Q202833,Facebook,89983,Social media,3208694
Q355,P31,Q122759350,Facebook,89983,,
Q355,P31,Q6576792,Facebook,89983,Online community,88489
Q355,P31,Q118140435,Facebook,89983,,
Q355,P127,Q380,Facebook,89983,Meta Platforms,6436250
Q355,P138,Q3540279,Facebook,89983,Face book,116050
Q355,P910,Q7214527,Facebook,89983,Category:Facebook,5216
Q355,P1343,Q17290934,Facebook,89983,,
Q355,P277,Q59,Facebook,89983,PHP,1478595
Q355,P137,Q380,Facebook,89983,Meta Platforms,6436250
Q355,P112,Q36215,Facebook,89983,Mark Zuckerberg,5003585
Q355,P112,Q312663,Facebook,89983,Eduardo Saverin,1535721
Q355,P112,Q370217,Facebook,89983,Dustin Moskovitz,489594
Q355,P112,Q370321,Facebook,89983,Chris Hughes,279637
Q355,P166,Q2517928,Facebook,89983,,
Q355,P4290,Q41689616,Facebook,89983,,
Q355,P407,Q1860,Facebook,89983,English language,7240470
Q355,P407,Q18130932,Facebook,89983,Traditional Chinese,35761
Q355,P407,Q13414913,Facebook,89983,Simplified Chinese,34451
Q355,P407,Q5287,Facebook,89983,Japanese language,3789234
Q355,P1889,Q380,Facebook,89983,Meta Platforms,6436250
Q355,P170,Q36215,Facebook,89983,Mark Zuckerberg,5003585
Q355,P1424,Q5624646,Facebook,89983,Template:Facebook,2209
Q355,P50,Q36215,Facebook,89983,Mark Zuckerberg,5003585
Q355,P50,Q312663,Facebook,89983,Eduardo Saverin,1535721
Q355,P50,Q370217,Facebook,89983,Dustin Moskovitz,489594
Q355,P50,Q370321,Facebook,89983,Chris Hughes,279637
Q355,P2184,Q3679366,Facebook,89983,History of Facebook,1024970
Q355,P793,Q108801995,Facebook,89983,2021 Facebook outage,49116
Q355,P793,Q66439731,Facebook,89983,,
Q355,P793,Q51050074,Facebook,89983,Facebook–Cambridge Analytica data scandal,461423
Q355,P1687,P2013,Facebook,89983,,
Q355,P400,Q48493,Facebook,89983,IOS,4781404
Q355,P400,Q94,Facebook,89983,Android (operating system),6524504
Q355,P5008,Q6173448,Facebook,89983,Wikipedia:Vital articles/Level/4,None
Q355,P1412,Q1860,Facebook,89983,English language,7240470
Q355,P1412,Q1321,Facebook,89983,Spanish language,2371103
Q355,P1412,Q188,Facebook,89983,German language,1918230
Q355,P1412,Q150,Facebook,89983,French language,2210218
Q355,P1412,Q727694,Facebook,89983,Standard Chinese,495626
Q209330,P127,Q380,Instagram,67424,Meta Platforms,6436250
Q209330,P31,Q3220391,Instagram,67424,Social networking service,526619
Q209330,P31,Q35127,Instagram,67424,Website,11556519
Q209330,P31,Q2721136,Instagram,67424,Image hosting service,32493
Q209330,P31,Q559856,Instagram,67424,Online video platform,328329
Q209330,P31,Q6576792,Instagram,67424,Online community,88489
Q209330,P31,Q118140435,Instagram,67424,,
Q209330,P170,Q10314243,Instagram,67424,Kevin Systrom,602420
Q209330,P170,Q10329947,Instagram,67424,Mike Krieger,418232
Q209330,P306,Q94,Instagram,67424,Android (operating system),6524504
Q209330,P306,Q48493,Instagram,67424,IOS,4781404
Q209330,P306,Q4885200,Instagram,67424,Windows Phone,353093
Q209330,P306,Q18845397,Instagram,67424,Windows 10 Mobile,261800
Q209330,P306,Q18168774,Instagram,67424,Windows 10,2391826
Q209330,P306,Q107269746,Instagram,67424,Windows 11,1483865
Q209330,P1687,P2003,Instagram,67424,,
Q209330,P1687,P4173,Instagram,67424,,
Q209330,P159,Q62,Instagram,67424,San Francisco,2995600
Q209330,P910,Q6967267,Instagram,67424,Category:Instagram,1825
Q209330,P366,Q173095,Instagram,67424,Digital photography,141049
Q209330,P366,Q14167874,Instagram,67424,Artist's portfolio,14654
Q209330,P749,Q380,Instagram,67424,Meta Platforms,6436250
Q209330,P4290,Q41689793,Instagram,67424,,
Q209330,P407,Q20923490,Instagram,67424,Multiple languages,678
Q209330,P1424,Q13107244,Instagram,67424,Template:Instagram,1984
Q209330,P275,Q3238057,Instagram,67424,Proprietary license,14884
Q209330,P275,Q178285,Instagram,67424,Freeware,328761
Q209330,P112,Q10314243,Instagram,67424,Kevin Systrom,602420
Q209330,P112,Q10329947,Instagram,67424,Mike Krieger,418232
Q209330,P2739,Q62687079,Instagram,67424,,
Q209330,P750,Q135288,Instagram,67424,Microsoft Store,159554
Q209330,P750,Q79576,Instagram,67424,Google Play,2290865
Q209330,P750,Q368215,Instagram,67424,App Store (Apple),452539
Q209330,P17,Q30,Instagram,67424,United States,22053058
Q209330,P1552,Q99763488,Instagram,67424,,
Q209330,P6216,Q50423863,Instagram,67424,,
Q209330,P437,Q54820071,Instagram,67424,,
Q209330,P479,Q165970,Instagram,67424,Touchscreen,383174
Q209330,P400,Q94,Instagram,67424,Android (operating system),6524504
Q209330,P400,Q48493,Instagram,67424,IOS,4781404
Q209330,P793,Q66439731,Instagram,67424,,
Q108839994,P31,Q11424,Oppenheimer (film),72574,Film,2289880
Q108839994,P57,Q25191,Oppenheimer (film),72574,Christopher Nolan,7887968
Q108839994,P161,Q202589,Oppenheimer (film),72574,Cillian Murphy,10159506
Q108839994,P161,Q165219,Oppenheimer (film),72574,Robert Downey Jr.,6308224
Q108839994,P161,Q175535,Oppenheimer (film),72574,Matt Damon,4824807
Q108839994,P161,Q193517,Oppenheimer (film),72574,Emily Blunt,6322874
Q108839994,P161,Q22277803,Oppenheimer (film),72574,Florence Pugh,7277697
Q108839994,P161,Q375590,Oppenheimer (film),72574,Rami Malek,3320910
Q108839994,P161,Q43676009,Oppenheimer (film),72574,Benny Safdie,1145399
Q108839994,P161,Q303957,Oppenheimer (film),72574,Josh Hartnett,2946025
Q108839994,P161,Q860876,Oppenheimer (film),72574,Dane DeHaan,964271
Q108839994,P161,Q1139078,Oppenheimer (film),72574,Jack Quaid,2856165
Q108839994,P161,Q318249,Oppenheimer (film),72574,Matthew Modine,1085499
Q108839994,P161,Q64840837,Oppenheimer (film),72574,Dylan Arnold,559762
Q108839994,P161,Q1189113,Oppenheimer (film),72574,Alden Ehrenreich,1229307
Q108839994,P161,Q356086,Oppenheimer (film),72574,David Krumholtz,1067014
Q108839994,P161,Q317024,Oppenheimer (film),72574,Michael Angarano,1283543
Q108839994,P161,Q55294,Oppenheimer (film),72574,Kenneth Branagh,3424119
Q108839994,P161,Q16203767,Oppenheimer (film),72574,David Dastmalchian,1264186
Q108839994,P161,Q402764,Oppenheimer (film),72574,Jason Clarke,1083187
Q108839994,P161,Q262162,Oppenheimer (film),72574,Louise Lombard,300078
Q108839994,P161,Q316231,Oppenheimer (film),72574,Scott Grimes,1029753
Q108839994,P161,Q549017,Oppenheimer (film),72574,Christopher Denham,235637
Q108839994,P161,Q717194,Oppenheimer (film),72574,James D'Arcy,636688
Q108839994,P161,Q5622130,Oppenheimer (film),72574,Guy Burnet,130008
Q108839994,P161,Q311779,Oppenheimer (film),72574,Josh Peck,1300878
Q108839994,P161,Q15222785,Oppenheimer (film),72574,Harrison Gilbertson,156540
Q108839994,P161,Q5372783,Oppenheimer (film),72574,Emma Dumont,283986
Q108839994,P161,Q64645,Oppenheimer (film),72574,Matthias Schweighöfer,790167
Q108839994,P161,Q508722,Oppenheimer (film),72574,Gustaf Skarsgård,1680049
Q108839994,P161,Q552896,Oppenheimer (film),72574,Devon Bostick,788912
Q108839994,P161,Q940891,Oppenheimer (film),72574,Alex Wolff,1064409
Q108839994,P161,Q224754,Oppenheimer (film),72574,Tony Goldwyn,1176823
Q108839994,P161,Q1779291,Oppenheimer (film),72574,Trond Fausa Aurvåg,98155
Q108839994,P161,Q83492,Oppenheimer (film),72574,Gary Oldman,3670664
Q108839994,P161,Q783351,Oppenheimer (film),72574,Josh Zuckerman,271481
Q108839994,P161,Q242550,Oppenheimer (film),72574,Olivia Thirlby,1223717
Q108839994,P161,Q270730,Oppenheimer (film),72574,Casey Affleck,2373671
Q108839994,P161,Q113678346,Oppenheimer (film),72574,Olli Haaskivi,60352
Q108839994,P161,Q441913,Oppenheimer (film),72574,James Remar,713256
Q108839994,P161,Q116077695,Oppenheimer (film),72574,David Rysdahl,430831
Q108839994,P161,Q241962,Oppenheimer (film),72574,Tom Conti,911828
Q108839994,P161,Q6175481,Oppenheimer (film),72574,Jefferson Hall (actor),239701
Q108839994,P161,Q23834468,Oppenheimer (film),72574,Macon Blair,198943
Q108839994,P161,Q566885,Oppenheimer (film),72574,Harry Groener,96256
Q108839994,P161,Q22277473,Oppenheimer (film),72574,Jack Cutmore-Scott,455952
Q108839994,P161,Q2646713,Oppenheimer (film),72574,Gregory Jbara,154751
Q108839994,P161,Q1321037,Oppenheimer (film),72574,Tim DeKay,210927
Q108839994,P161,Q6144533,Oppenheimer (film),72574,James Urbaniak,187004
Q108839994,P161,Q121154243,Oppenheimer (film),72574,,
Q108839994,P161,Q120889349,Oppenheimer (film),72574,,
Q108839994,P161,Q47044491,Oppenheimer (film),72574,,
Q108839994,P161,Q29167999,Oppenheimer (film),72574,,
Q108839994,P161,Q121154515,Oppenheimer (film),72574,,
Q108839994,P161,Q26197354,Oppenheimer (film),72574,,
Q108839994,P161,Q125145886,Oppenheimer (film),72574,,
Q108839994,P161,Q125145890,Oppenheimer (film),72574,,
Q108839994,P161,Q125145895,Oppenheimer (film),72574,,
Q108839994,P161,Q125145908,Oppenheimer (film),72574,,
Q108839994,P161,Q7144028,Oppenheimer (film),72574,Pat Skipper,43991
Q108839994,P161,Q121366074,Oppenheimer (film),72574,,
Q108839994,P495,Q30,Oppenheimer (film),72574,United States,22053058
