head,rel,tail
Q237324,P19,Q16563
Q237324,P136,Q484641
Q237324,P136,Q83440
Q237324,P264,Q193023
Q237324,P101,Q11895763
Q237324,P1303,Q17172850
Q237324,P412,Q37137
Q237324,P1412,Q1860
Q237324,P20,Q65
Q237324,P509,Q12152
Q237324,P1196,Q3739104
Q6622409,P360,Q11424
Q3373219,P17,Q30
Q59268408,P106,Q2252262
Q59268408,P106,Q753110
Q59268408,P106,Q177220
Q59268408,P27,Q30
Q59268408,P1303,Q17172850
Q59268408,P136,Q11401
Q59268408,P264,Q202440
Q59268408,P1412,Q1860
Q59268408,P103,Q1860
Q59268408,P1411,Q1453643
Q59268408,P166,Q1453643
Q3304414,P106,Q33999
Q3304414,P106,Q10800557
Q3304414,P106,Q4610556
Q3304414,P27,Q145
Q3304414,P1412,Q1860
Q70894,P27,Q30
Q70894,P641,Q41323
Q70894,P106,Q19204627
Q70894,P106,Q42331263
Q70894,P1050,Q84263196
Q108839994,P57,Q25191
Q108839994,P161,Q55294
Q108839994,P495,Q30
Q108839994,P495,Q145
Q108839994,P462,Q22006653
Q108839994,P462,Q838368
Q108839994,P58,Q25191
Q108839994,P915,Q65
Q108839994,P915,Q99
Q108839994,P162,Q25191
Q108839994,P272,Q168383
Q108839994,P750,Q168383
Q108839994,P750,Q1329615
Q108839994,P364,Q1860
Q108839994,P136,Q52207310
Q108839994,P136,Q645928
Q108839994,P136,Q21010853
Q108839994,P136,Q182015
Q108839994,P136,Q130232
Q108839994,P437,Q47544021
Q108839994,P437,Q723685
Q108839994,P6216,Q50423863
Q108839994,P166,Q102427
Q108839994,P840,Q35794
Q108839994,P5021,Q4165246
Q108760382,P495,Q30
Q108760382,P495,Q145
Q108760382,P495,Q27
Q108760382,P407,Q1860
Q108760382,P750,Q54958752
Q108760382,P136,Q52207399
Q108760382,P136,Q2484376
Q108760382,P136,Q157394
Q108760382,P364,Q1860
Q108760382,P462,Q22006653
Q108760382,P166,Q670282
Q108760382,P166,Q209459
Q108760382,P166,Q277751
Q108760382,P840,Q84
Q108760382,P840,Q90
Q108760382,P915,Q28
Q108760382,P1411,Q102427
Q108760382,P1411,Q670282
Q108760382,P5021,Q4165246
Q108760382,P437,Q47544021
Q108760382,P437,Q723685
Q21621919,P264,Q4413456
Q21621919,P264,Q165745
Q21621919,P27,Q30
Q21621919,P106,Q2252262
Q21621919,P106,Q177220
Q21621919,P106,Q753110
Q21621919,P106,Q183945
Q21621919,P106,Q639669
Q21621919,P1412,Q1860
Q21621919,P136,Q11401
Q21621919,P136,Q37073
Q21621919,P136,Q850412
Q21621919,P136,Q83440
Q21621919,P1303,Q17172850
Q21621919,P1303,Q6607
Q21621919,P103,Q1860
Q21621919,P6886,Q1860
Q21621919,P412,Q31687
Q21621919,P101,Q37073
Q21621919,P101,Q6010
Q21621919,P101,Q373342
Q21621919,P1411,Q1527196
Q21621919,P1411,Q19858055
Q21621919,P1411,Q19858088
Q21621919,P6275,Q7120528
Q9448,P17,Q145
Q9448,P641,Q2736
Q9448,P2541,Q21
Q153815,P22,Q280856
Q153815,P25,Q10633
Q153815,P53,Q81589
Q153815,P166,Q2171187
Q153815,P166,Q105339055
Q153815,P509,Q12202
Q153815,P27,Q145
Q153815,P1196,Q3739104
Q153815,P106,Q2478141
Q153815,P106,Q512314
Q153815,P3373,Q9682
Q153815,P97,Q579431
Q153815,P140,Q82708
Q153815,P1412,Q1860
Q153815,P103,Q7979
Q153815,P463,Q645968
Q153815,P551,Q42182
Q153815,P551,Q207385
Q153815,P1290,Q590227
Q153815,P1340,Q17122834
Q153815,P3716,Q11573099
Q153815,P172,Q842438
Q153815,P6886,Q7979
Q234773,P26,Q303
Q234773,P106,Q33999
Q234773,P106,Q36180
Q234773,P106,Q131524
Q234773,P106,Q10800557
Q234773,P106,Q10798782
Q234773,P106,Q947873
Q234773,P106,Q578109
Q234773,P106,Q3282637
Q234773,P106,Q4610556
Q234773,P27,Q30
Q234773,P19,Q18419
Q234773,P1412,Q1860
Q234773,P1343,Q67311526
Q234773,P103,Q1860
Q234773,P6886,Q1860
Q28071144,P106,Q177220
Q28071144,P106,Q488205
Q28071144,P106,Q55960555
Q28071144,P264,Q155152
Q28071144,P412,Q186506
Q28071144,P1303,Q17172850
Q28071144,P27,Q145
Q28071144,P1412,Q1860
Q28071144,P136,Q850412
Q2451563,P27,Q30
Q2451563,P1303,Q6607
Q2451563,P1303,Q17172850
Q2451563,P106,Q639669
Q2451563,P106,Q177220
Q2451563,P106,Q855091
Q2451563,P136,Q852767
Q2451563,P19,Q16568
Q582280,P641,Q2736
Q582280,P641,Q41323
Q582280,P17,Q30
Q543429,P17,Q30
Q543429,P641,Q41323
Q299266,P27,Q30
Q299266,P106,Q947873
Q299266,P106,Q2722764
Q299266,P106,Q3282637
Q299266,P106,Q2405480
Q299266,P106,Q33999
Q299266,P106,Q578109
Q299266,P166,Q17985761
Q299266,P551,Q60
Q299266,P1412,Q1860
Q299266,P103,Q1860
Q299266,P6886,Q1860
Q7396400,P106,Q33999
Q7396400,P106,Q177220
Q7396400,P106,Q10798782
Q7396400,P106,Q753110
Q7396400,P106,Q2405480
Q7396400,P106,Q10800557
Q7396400,P106,Q55960555
Q7396400,P106,Q4610556
Q7396400,P106,Q3282637
Q7396400,P106,Q578109
Q7396400,P27,Q30
Q7396400,P136,Q37073
Q7396400,P136,Q83440
Q7396400,P264,Q387539
Q7396400,P264,Q190585
Q7396400,P1303,Q17172850
Q7396400,P1412,Q1860
Q7396400,P103,Q1860
Q7396400,P6886,Q1860
Q7396400,P552,Q3039938
Q816038,P57,Q8704
Q816038,P57,Q336424
Q816038,P58,Q8704
Q816038,P58,Q336424
Q816038,P136,Q842256
Q816038,P162,Q8704
Q816038,P495,Q30
Q816038,P364,Q1860
Q816038,P725,Q8704
Q816038,P3275,Q336424
Q816038,P195,Q188740
Q816038,P462,Q838368
Q816038,P750,Q54958752
Q816038,P6942,Q336424
Q816038,P3092,Q8704
Q816038,P437,Q723685
Q816038,P6216,Q50423863
Q816038,P170,Q8704
Q816038,P361,Q823422
Q816038,P407,Q7976
Q26876,P106,Q33999
Q26876,P106,Q36834
Q26876,P106,Q177220
Q26876,P106,Q183945
Q26876,P106,Q12362622
